Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT (min),Avg_CTAT (min),Canceled_Rides_by_Customer,Reason_for_Canceling_by_Customer,Canceled_Rides_by_Driver,Reason_for_Canceling_by_Driver,Trip_Distance,Ride_Fare,Payment_Method,Driver_ID,Customer_Rating,Driver_Rating
03-08-2026,17:59,BKG1000001,Completed,CUST106495,Bike,Hoodi,Hebbal,17,15,No,N/A,No,N/A,12.6,220.93,Card,DRV14476,3.1,4.6
24-08-2026,21:56,BKG1000002,Cancelled by Driver,CUST110227,Bike,Kadugodi,Hoodi,8,27,No,N/A,Yes,Vehicle breakdown,24.1,186.57,Wallet,DRV15591,3.4,3.3
21-08-2026,13:57,BKG1000003,Completed,CUST107006,Mini,Rajajinagar,Ulsoor,16,27,No,N/A,No,N/A,11.3,600.51,Cash,DRV16337,3.4,4.8
14-08-2026,09:56,BKG1000004,Completed,CUST111976,Mini,JP Nagar,Sadashivanagar,2,19,No,N/A,No,N/A,6.3,721.56,UPI,DRV13693,4.4,4.8
14-08-2026,00:53,BKG1000005,Completed,CUST122654,Mini,Ejipura,HSR Layout,14,19,No,N/A,No,N/A,27.4,158.09,UPI,DRV16849,4,4.8
27-08-2026,14:32,BKG1000006,Cancelled by Driver,CUST117886,Prime Sedan,Richmond Road,Kengeri,20,13,No,N/A,Yes,Customer was not reachable,27.8,797.71,UPI,DRV10123,4.3,3.2
03-08-2026,21:42,BKG1000007,Cancelled by Customer,CUST115215,Auto,Cunningham Road,Thanisandra,9,28,Yes,Driver asked to cancel,No,N/A,4.5,117.92,UPI,DRV15993,4.9,4.4
22-08-2026,03:15,BKG1000008,Completed,CUST107120,Auto,Kengeri,Thanisandra,12,23,No,N/A,No,N/A,17.6,1046.03,UPI,DRV12689,4.1,4.7
07-08-2026,05:41,BKG1000009,Completed,CUST114174,Prime Sedan,Thanisandra,Sanjay Nagar,16,28,No,N/A,No,N/A,29.9,638.9,UPI,DRV14277,3.5,4.3
03-08-2026,12:44,BKG1000010,Completed,CUST100828,Auto,Cunningham Road,Hoodi,16,3,No,N/A,No,N/A,2.5,587.02,Cash,DRV14696,4.5,3.8
17-08-2026,12:25,BKG1000011,Cancelled by Customer,CUST112700,eBike,Domlur,Malleshwaram,16,28,Yes,AC is Not working (Only for 4 wheelers),No,N/A,10.9,772.08,Wallet,DRV12156,4.1,3.9
31-08-2026,10:39,BKG1000012,Completed,CUST100504,Mini,Bommasandra,Thanisandra,8,11,No,N/A,No,N/A,8.8,879.11,UPI,DRV12085,4.2,4.9
23-08-2026,03:25,BKG1000013,Completed,CUST102755,Prime Sedan,Majestic,Electronic City,10,28,No,N/A,No,N/A,20.8,359.58,Card,DRV14542,5,4.5
24-08-2026,11:52,BKG1000014,Completed,CUST111691,Prime Sedan,Sarjapur,Ulsoor,9,9,No,N/A,No,N/A,25.1,670.51,UPI,DRV16001,3.3,3.5
23-08-2026,12:11,BKG1000015,Cancelled by Customer,CUST105136,Prime Sedan,Yeshwanthpur,Sadashivanagar,11,4,Yes,AC is Not working (Only for 4 wheelers),No,N/A,25.4,1003.21,UPI,DRV14392,3.2,4.1
25-08-2026,04:51,BKG1000016,Completed,CUST100606,Prime Sedan,Jayanagar,RT Nagar,7,19,No,N/A,No,N/A,19.2,1112.74,UPI,DRV17001,4.9,4.5
16-08-2026,14:46,BKG1000017,Completed,CUST117028,Prime Sedan,Yeshwanthpur,Sadashivanagar,3,12,No,N/A,No,N/A,24.6,987.89,Cash,DRV17314,4.3,5
04-08-2026,20:16,BKG1000018,Completed,CUST105747,Prime SUV,Electronic City,Shanti Nagar,16,14,No,N/A,No,N/A,19.1,186.44,Card,DRV17176,4.4,4.5
27-08-2026,02:09,BKG1000019,Completed,CUST113288,Auto,Varthur,Adugodi,9,12,No,N/A,No,N/A,5.8,1088.06,Card,DRV13963,3.1,4.1
14-08-2026,01:35,BKG1000020,Completed,CUST114508,Mini,Sanjay Nagar,Electronic City,10,5,No,N/A,No,N/A,22.7,943.8,UPI,DRV11704,3.2,4.3
16-08-2026,13:56,BKG1000021,Completed,CUST109533,Mini,Ejipura,Marathahalli,2,29,No,N/A,No,N/A,4.9,403.57,UPI,DRV16785,4.5,3.4
12-08-2026,18:26,BKG1000022,Cancelled by Customer,CUST114679,Prime Sedan,Kalyan Nagar,Nagawara,3,9,Yes,Driver asked to cancel,No,N/A,28.3,596.6,UPI,DRV14103,4,3.4
06-08-2026,02:15,BKG1000023,Completed,CUST101400,Auto,Majestic,CV Raman Nagar,13,11,No,N/A,No,N/A,25.4,427.77,UPI,DRV15659,4.8,4.1
29-08-2026,22:55,BKG1000024,Completed,CUST111490,Mini,Kengeri,Shivajinagar,18,11,No,N/A,No,N/A,2.3,431.08,UPI,DRV13717,3.3,4.9
25-08-2026,11:37,BKG1000025,Completed,CUST117652,Auto,Adugodi,BTM 2nd Stage,15,10,No,N/A,No,N/A,15.7,70.38,Wallet,DRV13077,3,4.4
20-08-2026,02:24,BKG1000026,Cancelled by Customer,CUST120403,Mini,HSR Layout,Hoodi,12,6,Yes,AC is Not working (Only for 4 wheelers),No,N/A,26.7,1021.8,Card,DRV16991,4.1,3.3
13-08-2026,10:25,BKG1000027,Completed,CUST105418,Mini,Shivajinagar,Domlur,13,26,No,N/A,No,N/A,27.1,379.19,Cash,DRV11607,3,4.9
26-08-2026,10:03,BKG1000028,Completed,CUST104406,Prime Sedan,Yelahanka,Domlur,11,6,No,N/A,No,N/A,13.5,1063.84,Cash,DRV10380,3.3,4
17-08-2026,09:50,BKG1000029,Completed,CUST112446,Prime Plus,Varthur,Electronic City,15,25,No,N/A,No,N/A,29.7,656.74,UPI,DRV17421,4,3.1
14-08-2026,14:29,BKG1000030,Cancelled by Customer,CUST111886,Mini,Koramangala,BTM 2nd Stage,9,29,Yes,Wrong Address,No,N/A,11.7,949.45,Cash,DRV16542,3.6,3.5
14-08-2026,05:48,BKG1000031,Completed,CUST113521,Prime Sedan,Sarjapur,Bommanahalli,2,14,No,N/A,No,N/A,19.3,535.25,UPI,DRV13600,3,3.7
08-08-2026,23:13,BKG1000032,Completed,CUST106211,Bike,JP Nagar,Koramangala,3,4,No,N/A,No,N/A,20.3,425.15,Cash,DRV15791,4.3,3.9
03-08-2026,06:04,BKG1000033,Completed,CUST122866,Prime Plus,Malleshwaram,Whitefield,15,25,No,N/A,No,N/A,14.9,947.62,UPI,DRV15664,3.3,4.7
18-08-2026,20:00,BKG1000034,Completed,CUST100095,Prime SUV,Malleshwaram,Rajajinagar,15,10,No,N/A,No,N/A,12.2,806.98,UPI,DRV17955,4.5,3.6
28-08-2026,19:36,BKG1000035,No Driver Found,CUST115033,Auto,Ulsoor,Kengeri,6,17,No,N/A,No,N/A,23.4,157.9,UPI,DRV10166,4.7,4.7
02-08-2026,09:54,BKG1000036,Completed,CUST110998,Prime Plus,Malleshwaram,Nagawara,17,23,No,N/A,No,N/A,25.5,684.93,UPI,DRV17648,4,3.6
27-08-2026,04:43,BKG1000037,Completed,CUST115545,Prime Sedan,Frazer Town,Malleshwaram,17,8,No,N/A,No,N/A,25.8,904.98,Cash,DRV10224,3.6,3.3
26-08-2026,23:40,BKG1000038,Cancelled by Customer,CUST100894,Prime Sedan,MG Road,Sadashivanagar,11,19,Yes,AC is Not working (Only for 4 wheelers),No,N/A,28.2,785.15,Cash,DRV16726,4,3.8
09-08-2026,13:30,BKG1000039,Completed,CUST105887,eBike,Hebbal,Sarjapur,16,15,No,N/A,No,N/A,19.6,1086.52,Cash,DRV11030,4.6,4.1
20-08-2026,07:07,BKG1000040,Completed,CUST114943,Auto,Cooke Town,Cunningham Road,13,15,No,N/A,No,N/A,15.9,1066.51,UPI,DRV11139,3.4,3.4
06-08-2026,03:33,BKG1000041,Completed,CUST123934,Bike,Banashankari,Thanisandra,15,15,No,N/A,No,N/A,4.4,396.89,Card,DRV12376,4.6,3.7
24-08-2026,08:22,BKG1000042,Cancelled by Customer,CUST121951,Auto,Cunningham Road,KR Puram,20,5,Yes,Driver is not moving towards pickup location,No,N/A,10,126,UPI,DRV16886,4.1,3.1
22-08-2026,15:06,BKG1000043,Completed,CUST113222,Prime Plus,Yeshwanthpur,Hoodi,7,6,No,N/A,No,N/A,13.2,1128.67,UPI,DRV16108,4.4,4.5
11-08-2026,12:16,BKG1000044,Completed,CUST110942,Auto,Sarjapur,Cunningham Road,7,6,No,N/A,No,N/A,27.6,802.16,UPI,DRV17963,3.2,3
03-08-2026,01:41,BKG1000045,Cancelled by Customer,CUST107514,Mini,Koramangala,Malleshwaram,9,13,Yes,Change of plans,No,N/A,15.8,57.21,UPI,DRV14782,4.6,4.9
31-08-2026,18:48,BKG1000046,Completed,CUST104972,Prime Sedan,Hoodi,Basavanagudi,20,11,No,N/A,No,N/A,5.2,648.2,Card,DRV13304,3.3,4
14-08-2026,07:18,BKG1000047,Cancelled by Driver,CUST124651,Prime Plus,BTM 2nd Stage,Vijayanagar,7,29,No,N/A,Yes,Personal & Car related issue,29.1,200.49,Card,DRV10520,3.8,4.6
28-08-2026,04:41,BKG1000048,Completed,CUST115063,Bike,Sadashivanagar,Cooke Town,12,13,No,N/A,No,N/A,9.4,1148.23,UPI,DRV12439,3.5,4.9
22-08-2026,16:59,BKG1000049,Completed,CUST107375,Prime SUV,Domlur,BTM 2nd Stage,7,12,No,N/A,No,N/A,9.1,832.63,Cash,DRV10755,3.4,3.6
25-08-2026,17:06,BKG1000050,Completed,CUST117019,Mini,Sarjapur,HSR Sector 2,11,13,No,N/A,No,N/A,13.4,974.02,UPI,DRV10102,3,4.9
24-08-2026,19:22,BKG1000051,Completed,CUST101225,Bike,Richmond Road,Yeshwanthpur,4,13,No,N/A,No,N/A,18,856.18,UPI,DRV17739,4.3,3.4
07-08-2026,00:00,BKG1000052,Completed,CUST115198,Auto,Koramangala,BTM Layout,19,19,No,N/A,No,N/A,17.5,97.86,UPI,DRV13881,4.7,4.7
12-08-2026,09:09,BKG1000053,Completed,CUST113731,Mini,Richmond Road,Sanjay Nagar,8,4,No,N/A,No,N/A,2.1,875.41,Card,DRV13066,3.8,3.4
15-08-2026,06:49,BKG1000054,Completed,CUST110122,Prime Sedan,Majestic,Sanjay Nagar,8,4,No,N/A,No,N/A,10.4,73.23,UPI,DRV17639,4.4,5
16-08-2026,13:49,BKG1000055,Completed,CUST117488,Mini,HSR Layout,Bellandur,17,25,No,N/A,No,N/A,14.5,578.32,Cash,DRV12071,4,3.4
02-08-2026,23:55,BKG1000056,Completed,CUST109427,Auto,KR Puram,Banashankari,18,28,No,N/A,No,N/A,10.8,865.18,UPI,DRV15673,4.6,4.6
17-08-2026,02:37,BKG1000057,Completed,CUST122506,eBike,Varthur,Koramangala,15,23,No,N/A,No,N/A,9.8,588.43,Card,DRV15681,3.5,3.4
05-08-2026,15:57,BKG1000058,Completed,CUST114440,eBike,Hebbal,Lalbagh,8,29,No,N/A,No,N/A,18.8,432.54,UPI,DRV13389,4.5,3.4
24-08-2026,10:43,BKG1000059,Completed,CUST124399,Prime Sedan,RT Nagar,HSR Layout,18,10,No,N/A,No,N/A,4.8,741.91,Cash,DRV12823,4.7,4.7
22-08-2026,11:07,BKG1000060,Completed,CUST106004,Auto,Malleshwaram,Rajajinagar,10,17,No,N/A,No,N/A,12.5,58.56,Card,DRV13628,4.1,3.1
29-08-2026,22:27,BKG1000061,Completed,CUST120771,Prime Sedan,Brookefield,Sanjay Nagar,13,30,No,N/A,No,N/A,14.8,621.05,UPI,DRV15207,4.5,4
24-08-2026,17:23,BKG1000062,Completed,CUST100957,Bike,Majestic,Marathahalli,12,13,No,N/A,No,N/A,13.4,542.23,Cash,DRV14133,3,3.5
12-08-2026,02:05,BKG1000063,Cancelled by Customer,CUST105912,Auto,Electronic City,Sanjay Nagar,20,25,Yes,Driver asked to cancel,No,N/A,7.4,880.69,Card,DRV13887,4,4.9
30-08-2026,10:07,BKG1000064,Completed,CUST102199,Prime Sedan,Majestic,Yeshwanthpur,2,24,No,N/A,No,N/A,7.8,146.43,UPI,DRV13522,4.1,3.2
13-08-2026,17:57,BKG1000065,Cancelled by Customer,CUST108704,Auto,Cooke Town,Kalyan Nagar,6,25,Yes,Driver is not moving towards pickup location,No,N/A,27.9,931.17,UPI,DRV14672,4.3,4.1
11-08-2026,02:56,BKG1000066,Completed,CUST111151,Bike,Rajajinagar,Hebbal,17,6,No,N/A,No,N/A,16.3,1198.51,UPI,DRV13104,3.6,4.4
29-08-2026,12:58,BKG1000067,Completed,CUST123663,Auto,Bommanahalli,Majestic,13,3,No,N/A,No,N/A,26,1039.21,UPI,DRV16918,3.9,4.4
12-08-2026,11:27,BKG1000068,Completed,CUST111179,Mini,Rajajinagar,Lalbagh,9,19,No,N/A,No,N/A,11.3,906.68,Card,DRV11033,4,4.1
03-08-2026,01:22,BKG1000069,Completed,CUST108373,Prime Sedan,CV Raman Nagar,JP Nagar,5,27,No,N/A,No,N/A,13.1,241.76,UPI,DRV11181,4.7,3.3
15-08-2026,22:54,BKG1000070,Completed,CUST117828,Prime SUV,Majestic,Vijayanagar,13,25,No,N/A,No,N/A,10.6,82.62,UPI,DRV14684,4.3,4.6
25-08-2026,08:11,BKG1000071,Cancelled by Driver,CUST117579,Prime Sedan,Sarjapur,Shanti Nagar,3,29,No,N/A,Yes,Emergency,5.1,263.1,Card,DRV10064,3.8,3.7
06-08-2026,06:27,BKG1000072,Completed,CUST108680,Mini,BTM 2nd Stage,Marathahalli,10,23,No,N/A,No,N/A,12.2,658.03,Cash,DRV15525,3.2,4.5
15-08-2026,02:45,BKG1000073,Completed,CUST110817,Mini,Majestic,Varthur,11,19,No,N/A,No,N/A,23.7,504.63,Wallet,DRV12135,3.7,3.5
05-08-2026,01:05,BKG1000074,Completed,CUST123823,Bike,Cooke Town,CV Raman Nagar,14,30,No,N/A,No,N/A,14.1,362.72,Wallet,DRV15819,4.1,4.1
22-08-2026,04:15,BKG1000075,Completed,CUST104706,Bike,Bommanahalli,HSR Sector 2,15,17,No,N/A,No,N/A,18.8,1049.14,UPI,DRV17714,3.5,4.2
15-08-2026,17:21,BKG1000076,Completed,CUST111520,Prime Sedan,Sadashivanagar,Devanahalli,14,17,No,N/A,No,N/A,3.1,976.64,UPI,DRV16196,3.6,3.1
11-08-2026,06:59,BKG1000077,Completed,CUST107083,Auto,Kengeri,Yelahanka,15,14,No,N/A,No,N/A,9.7,110.37,UPI,DRV17370,3,4.3
08-08-2026,10:58,BKG1000078,Completed,CUST103161,Mini,Cunningham Road,MG Road,6,12,No,N/A,No,N/A,20.4,561.85,Cash,DRV10966,3.2,3.2
18-08-2026,15:13,BKG1000079,Completed,CUST120685,Bike,Varthur,Ulsoor,2,22,No,N/A,No,N/A,25.4,207.55,Card,DRV14113,3.9,3.5
21-08-2026,08:52,BKG1000080,Completed,CUST106610,Mini,JP Nagar,Yeshwanthpur,11,30,No,N/A,No,N/A,16.5,156.29,UPI,DRV16469,4,3.6
30-08-2026,09:36,BKG1000081,Completed,CUST119948,Prime Sedan,JP Nagar,Malleshwaram,6,11,No,N/A,No,N/A,19.9,486.87,UPI,DRV17976,4.4,4.7
14-08-2026,11:30,BKG1000082,Completed,CUST119318,eBike,Richmond Road,Indiranagar,15,26,No,N/A,No,N/A,5.1,162.47,UPI,DRV12260,3.1,4.9
05-08-2026,21:12,BKG1000083,Completed,CUST123878,Prime SUV,Kengeri,Marathahalli,12,29,No,N/A,No,N/A,13.3,333.41,Cash,DRV17627,3.9,3.1
26-08-2026,22:19,BKG1000084,Completed,CUST121248,Prime Sedan,Kadugodi,Vijayanagar,8,21,No,N/A,No,N/A,6.8,305.74,Cash,DRV17429,4,3.4
20-08-2026,06:32,BKG1000085,Completed,CUST124918,Mini,Basavanagudi,Sanjay Nagar,19,30,No,N/A,No,N/A,19.7,63.56,UPI,DRV10618,4.9,4.4
22-08-2026,06:09,BKG1000086,Completed,CUST104570,Mini,Cooke Town,Indiranagar,6,27,No,N/A,No,N/A,6.3,293.57,Card,DRV11323,3.1,4.4
04-08-2026,09:28,BKG1000087,Cancelled by Driver,CUST113439,Prime Plus,Whitefield,Thanisandra,10,30,No,N/A,Yes,Emergency,22.8,600.52,UPI,DRV16587,4.6,3.9
10-08-2026,04:08,BKG1000088,Completed,CUST103161,Prime Sedan,Thanisandra,Adugodi,11,4,No,N/A,No,N/A,9.1,135.65,UPI,DRV15193,4.5,4.5
24-08-2026,13:05,BKG1000089,Completed,CUST104873,Bike,Bommanahalli,Nagawara,14,20,No,N/A,No,N/A,29.7,1031.45,UPI,DRV11759,4.2,5
26-08-2026,12:09,BKG1000090,Completed,CUST115710,Mini,Marathahalli,Kengeri,6,30,No,N/A,No,N/A,23.8,1135.99,UPI,DRV15641,4.2,4.8
14-08-2026,11:45,BKG1000091,Completed,CUST102942,eBike,Bommanahalli,RT Nagar,15,24,No,N/A,No,N/A,20.4,564.41,Cash,DRV17249,3.4,4.2
25-08-2026,11:31,BKG1000092,Completed,CUST117299,Prime SUV,Shanti Nagar,Varthur,18,28,No,N/A,No,N/A,3,157.33,UPI,DRV15434,4.6,3.6
